id_tienda,id_producto,semana,pronostico,nivel_servicio,objetivo_bruto,objetivo,stock_actual,pedido,colchon,cubierto_por_stock,unidades_vendidas
STORE_01,PROD_001,11,47.77813302266738,0.68,51.85819087090698,52.0,1,51.0,4.221866977332617,False,39
STORE_01,PROD_001,12,46.07489590615901,0.68,49.90921378108484,50.0,1,49.0,3.925104093840993,False,45
STORE_01,PROD_001,13,45.00189462203312,0.68,48.755670962306105,49.0,1,48.0,3.99810537796688,False,51
STORE_01,PROD_002,11,68.47535663008489,0.65,73.21866307851892,73.0,10,63.0,4.524643369915111,False,61
STORE_01,PROD_002,12,66.38041426298298,0.65,70.9369566514718,71.0,10,61.0,4.619585737017019,False,49
STORE_01,PROD_002,13,59.3893134313093,0.65,63.232616242267866,63.0,10,53.0,3.610686568690703,False,69
STORE_01,PROD_003,11,65.09951260353901,0.66,69.77611540039725,70.0,33,37.0,4.9004873964609885,False,45
STORE_01,PROD_003,12,60.944263205361736,0.66,65.1545940134111,65.0,33,32.0,4.055736794638264,False,67
STORE_01,PROD_003,13,61.28546444097792,0.66,65.64724132037952,66.0,33,33.0,4.714535559022082,False,68
STORE_01,PROD_004,11,41.987208467055545,0.64,44.681608725733966,45.0,11,34.0,3.012791532944455,False,54
STORE_01,PROD_004,12,46.875325473457316,0.64,49.83879299801256,50.0,11,39.0,3.124674526542684,False,53
STORE_01,PROD_004,13,49.101973631219636,0.64,52.21887240333163,52.0,11,41.0,2.8980263687803642,False,46
STORE_01,PROD_005,11,75.4583988303435,0.67,79.77578079485986,80.0,3,77.0,4.541601169656502,False,80
STORE_01,PROD_005,12,77.71982824381803,0.67,82.23049764618443,82.0,3,79.0,4.280171756181971,False,72
STORE_01,PROD_005,13,77.29406875691635,0.67,81.97657756397703,82.0,3,79.0,4.705931243083654,False,73
STORE_01,PROD_006,11,83.50447024059523,0.65,88.69054031049298,89.0,13,76.0,5.495529759404775,False,81
STORE_01,PROD_006,12,83.17614606505114,0.65,88.33837292009358,88.0,13,75.0,4.823853934948858,False,99
STORE_01,PROD_006,13,88.42672550890697,0.65,93.72125573565336,94.0,13,81.0,5.573274491093031,False,80
STORE_01,PROD_007,11,78.29493924395746,0.57,80.67204249703589,81.0,8,73.0,2.705060756042542,False,63
STORE_01,PROD_007,12,70.80266487149672,0.57,72.95189323264184,73.0,8,65.0,2.1973351285032834,False,66
STORE_01,PROD_007,13,70.6342531178725,0.57,72.733820249614,73.0,8,65.0,2.365746882127496,False,83
STORE_01,PROD_008,11,75.06878527758778,0.59,77.58315164748406,78.0,13,65.0,2.9312147224122214,False,69
STORE_01,PROD_008,12,72.31056523382924,0.59,74.69978284376187,75.0,13,62.0,2.6894347661707627,False,61
STORE_01,PROD_008,13,66.64955631811694,0.59,68.83413672340967,69.0,13,56.0,2.350443681883064,False,70
STORE_02,PROD_001,11,70.97580920984777,0.68,76.71473131880889,77.0,9,68.0,6.0241907901522325,False,77
STORE_02,PROD_001,12,71.33361111294286,0.68,77.13456099769296,77.0,9,68.0,5.666388887057138,False,67
STORE_02,PROD_001,13,70.61770161454069,0.68,76.46873018970842,76.0,9,67.0,5.382298385459308,False,71
STORE_02,PROD_002,11,94.78404762882155,0.65,100.67934051477243,101.0,20,81.0,6.215952371178446,False,111
STORE_02,PROD_002,12,97.7082336415211,0.65,103.78802706627339,104.0,20,84.0,6.291766358478895,False,98
STORE_02,PROD_002,13,97.63075678908561,0.65,103.7400821049285,104.0,20,84.0,6.369243210914391,False,85
STORE_02,PROD_003,11,105.92009067947856,0.66,113.23081696660844,113.0,32,81.0,7.079909320521438,False,110
STORE_02,PROD_003,12,107.34841123119972,0.66,114.7504199650249,115.0,32,83.0,7.651588768800281,False,95
STORE_02,PROD_003,13,104.70876941742424,0.66,111.91030738954058,112.0,32,80.0,7.291230582575764,False,94
STORE_02,PROD_004,11,69.91412215916793,0.64,74.10746054326826,74.0,43,31.0,4.085877840832069,False,75
STORE_02,PROD_004,12,68.69953427843132,0.64,72.89948998020834,73.0,43,30.0,4.300465721568685,False,77
STORE_02,PROD_004,13,73.51420113378674,0.64,78.25441700041456,78.0,43,35.0,4.485798866213258,False,75
STORE_02,PROD_005,11,127.97226158446202,0.67,134.6746278169969,135.0,27,108.0,7.027738415537982,False,105
STORE_02,PROD_005,12,115.2732845199993,0.67,121.51102738414394,122.0,27,95.0,6.726715480000706,False,115
STORE_02,PROD_005,13,112.43544051199541,0.67,118.68772524853595,119.0,27,92.0,6.5645594880045905,False,108
STORE_02,PROD_006,11,108.72872487392311,0.65,114.68575309685299,115.0,8,107.0,6.271275126076887,False,102
STORE_02,PROD_006,12,108.22979680364381,0.65,114.12051215839551,114.0,8,106.0,5.770203196356192,False,86
STORE_02,PROD_006,13,99.32787385977741,0.65,104.5527629779344,105.0,8,97.0,5.672126140222588,False,72
STORE_02,PROD_007,11,116.18096049538968,0.57,118.86575646577691,119.0,11,108.0,2.8190395046103163,False,114
STORE_02,PROD_007,12,112.86058162134262,0.57,115.55253348063832,116.0,11,105.0,3.139418378657382,False,129
STORE_02,PROD_007,13,120.23060048644183,0.57,123.04417217678734,123.0,11,112.0,2.76939951355817,False,104
STORE_02,PROD_008,11,98.34791560735866,0.59,101.31645640653488,101.0,20,81.0,2.652084392641342,False,129
STORE_02,PROD_008,12,109.9212293899642,0.59,112.88700705342178,113.0,20,93.0,3.0787706100358037,False,122
STORE_02,PROD_008,13,113.70583474473133,0.59,116.74855071784837,117.0,20,97.0,3.294165255268666,False,113
STORE_03,PROD_001,11,90.43526756612209,0.68,97.48563592750726,97.0,4,93.0,6.564732433877907,False,92
STORE_03,PROD_001,12,93.01797370524994,0.68,100.40786618913091,100.0,4,96.0,6.982026294750057,False,111
STORE_03,PROD_001,13,96.31899345690476,0.68,103.89343127195889,104.0,4,100.0,7.681006543095236,False,96
STORE_03,PROD_002,11,79.13235370273838,0.65,84.09907265220909,84.0,24,60.0,4.867646297261615,False,91
STORE_03,PROD_002,12,82.63128798934943,0.65,87.72931888729705,88.0,24,64.0,5.368712010650569,False,51
STORE_03,PROD_002,13,73.40121452544065,0.65,77.49745585413743,77.0,24,53.0,3.5987854745593495,False,74
STORE_03,PROD_003,11,96.22927658810104,0.66,103.1262764226224,103.0,20,83.0,6.770723411898956,False,84
STORE_03,PROD_003,12,91.90818113712504,0.66,98.35824179614609,98.0,20,78.0,6.091818862874959,False,93
STORE_03,PROD_003,13,92.82714536608205,0.66,99.33137992463746,99.0,20,79.0,6.17285463391795,False,98
STORE_03,PROD_004,11,57.280247165268456,0.64,60.759554888345676,61.0,21,40.0,3.719752834731544,False,58
STORE_03,PROD_004,12,57.72872617139294,0.64,61.24963221780913,61.0,21,40.0,3.2712738286070575,False,60
STORE_03,PROD_004,13,56.64173610883795,0.64,60.203954069484595,60.0,21,39.0,3.3582638911620535,False,65
STORE_03,PROD_005,11,131.06120485813327,0.67,138.42447102206376,138.0,8,130.0,6.938795141866734,False,143
STORE_03,PROD_005,12,135.72678667595602,0.67,143.2807794490847,143.0,8,135.0,7.273213324043979,False,153
STORE_03,PROD_005,13,139.2688915202874,0.67,146.93067361411778,147.0,8,139.0,7.731108479712589,False,152
STORE_03,PROD_006,11,141.6483526849637,0.65,149.83445379295037,150.0,18,132.0,8.351647315036303,False,140
STORE_03,PROD_006,12,142.3958176951712,0.65,150.62895630272297,151.0,18,133.0,8.60418230482881,False,129
STORE_03,PROD_006,13,136.4973349782737,0.65,144.34495919112823,144.0,18,126.0,7.502665021726301,False,141
STORE_03,PROD_007,11,147.16576582036674,0.57,150.5547590815639,151.0,4,147.0,3.834234179633256,False,173
STORE_03,PROD_007,12,158.68739800834842,0.57,162.13251482917624,162.0,4,158.0,3.312601991651576,False,151
STORE_03,PROD_007,13,150.57928609321038,0.57,154.02892304699182,154.0,4,150.0,3.420713906789615,False,180
STORE_03,PROD_008,11,126.56896326113713,0.59,130.30090322952918,130.0,4,126.0,3.431036738862872,False,140
STORE_03,PROD_008,12,128.94816713392322,0.59,132.88631687265953,133.0,4,129.0,4.051832866076779,False,144
STORE_03,PROD_008,13,133.03803135045519,0.59,136.98430938883646,137.0,4,133.0,3.961968649544815,False,127
STORE_04,PROD_001,11,70.0990906231109,0.68,75.8110684883371,76.0,29,47.0,5.900909376889103,False,73
STORE_04,PROD_001,12,68.8858070574307,0.68,74.5790348690856,75.0,29,46.0,6.114192942569304,False,77
STORE_04,PROD_001,13,72.99818461592108,0.68,79.1568902940575,79.0,29,50.0,6.001815384078924,False,71
STORE_04,PROD_002,11,85.47969488077732,0.65,90.48423259311355,90.0,9,81.0,4.520305119222684,False,84
STORE_04,PROD_002,12,82.5932601012355,0.65,87.41594959409026,87.0,9,78.0,4.406739898764499,False,95
STORE_04,PROD_002,13,91.63351074546034,0.65,97.56899424577962,98.0,9,89.0,6.366489254539658,False,76
STORE_04,PROD_003,11,96.64712700592892,0.66,103.03224994086801,103.0,15,88.0,6.3528729940710775,False,92
STORE_04,PROD_003,12,98.94606750138806,0.66,105.48570150571378,105.0,15,90.0,6.0539324986119425,False,97
STORE_04,PROD_003,13,97.98356576167964,0.66,104.44944771562662,104.0,15,89.0,6.0164342383203575,False,58
STORE_04,PROD_004,11,56.01458811777936,0.64,59.43297664699731,59.0,6,53.0,2.985411882220639,False,57
STORE_04,PROD_004,12,56.969808224652425,0.64,60.48078818549334,60.0,6,54.0,3.030191775347575,False,49
STORE_04,PROD_004,13,55.96735178080443,0.64,59.40300359994722,59.0,6,53.0,3.032648219195572,False,45
STORE_04,PROD_005,11,129.13873628383575,0.67,135.17995005173037,135.0,5,130.0,5.861263716164245,False,106
STORE_04,PROD_005,12,125.8891847119796,0.67,131.72849176118717,132.0,5,127.0,6.1108152880204045,False,144
STORE_04,PROD_005,13,140.1144562194377,0.67,146.77723745699137,147.0,5,142.0,6.885543780562301,False,147
STORE_04,PROD_006,11,166.4057898409174,0.65,175.4552844807318,175.0,30,145.0,8.594210159082593,False,172
STORE_04,PROD_006,12,171.43792046261692,0.65,180.90726661923318,181.0,30,151.0,9.562079537383084,False,186
STORE_04,PROD_006,13,182.48887564287358,0.65,193.127174233849,193.0,30,163.0,10.51112435712642,False,187
STORE_04,PROD_007,11,107.35869535855937,0.57,110.20010711351915,110.0,31,79.0,2.6413046414406267,False,93
STORE_04,PROD_007,12,102.42077973468261,0.57,105.01955843073802,105.0,31,74.0,2.579220265317389,False,97
STORE_04,PROD_007,13,101.13500594943099,0.57,103.6414754102556,104.0,31,73.0,2.8649940505690097,False,78
STORE_04,PROD_008,11,175.84131621115057,0.59,181.43768123051208,181.0,36,145.0,5.15868378884943,False,168
STORE_04,PROD_008,12,170.81927551224308,0.59,176.30836322830558,176.0,36,140.0,5.180724487756919,False,200
STORE_04,PROD_008,13,182.7985355580327,0.59,188.54453225536915,189.0,36,153.0,6.201464441967289,False,176
STORE_05,PROD_001,11,60.90832486711528,0.68,66.09937407013447,66.0,38,28.0,5.091675132884717,False,75
STORE_05,PROD_001,12,66.22341016808784,0.68,71.72590041223371,72.0,38,34.0,5.776589831912162,False,62
STORE_05,PROD_001,13,65.86273335473419,0.68,71.52210226495245,72.0,38,34.0,6.137266645265811,False,56
STORE_05,PROD_002,11,58.37818511129746,0.65,62.28630002154574,62.0,10,52.0,3.621814888702538,False,66
STORE_05,PROD_002,12,60.568908864096905,0.65,64.59705634478874,65.0,10,55.0,4.431091135903095,False,52
STORE_05,PROD_002,13,56.83779830647216,0.65,60.48939083941988,60.0,10,50.0,3.162201693527841,False,58
STORE_05,PROD_003,11,109.1795306117007,0.66,117.23161129283325,117.0,33,84.0,7.820469388299301,False,140
STORE_05,PROD_003,12,120.25729854202405,0.66,128.72073846463934,129.0,33,96.0,8.742701457975954,False,124
STORE_05,PROD_003,13,119.58230322582938,0.66,128.01775896361414,128.0,33,95.0,8.417696774170622,False,112
STORE_05,PROD_004,11,40.85032136603143,0.64,43.34223444881558,43.0,8,35.0,2.14967863396857,False,41
