escenario,fraccion_merma,id_producto,nombre,categoria,faltante,sobrante,razon,nivel,nivel_rejilla,prob_quiebre
sin merma,0.0,PROD_003,Cappuccino,Bebidas,3000,15.0,200.0,0.9950248756218906,0.99,0.00497512437810943
sin merma,0.0,PROD_001,Tinto,Bebidas,1700,10.0,170.0,0.9941520467836257,0.99,0.005847953216374324
sin merma,0.0,PROD_002,Café con Leche,Bebidas,2300,15.0,153.33333333333334,0.9935205183585313,0.99,0.006479481641468721
sin merma,0.0,PROD_006,Croissant,Alimentos,2300,25.0,92.0,0.989247311827957,0.99,0.010752688172043001
sin merma,0.0,PROD_004,Pan de Bono,Alimentos,1800,20.0,90.0,0.989010989010989,0.99,0.01098901098901095
sin merma,0.0,PROD_005,Buñuelo,Alimentos,1700,20.0,85.0,0.9883720930232558,0.99,0.011627906976744207
sin merma,0.0,PROD_007,Pastel de Pollo,Alimentos,2000,30.0,66.66666666666667,0.9852216748768473,0.99,0.014778325123152691
sin merma,0.0,PROD_008,Jugo de Naranja,Bebidas,3000,50.0,60.0,0.9836065573770492,0.98,0.016393442622950838
merma parcial,0.5,PROD_001,Tinto,Bebidas,1700,410.0,4.146341463414634,0.8056872037914692,0.81,0.1943127962085308
merma parcial,0.5,PROD_005,Buñuelo,Alimentos,1700,420.0,4.0476190476190474,0.8018867924528302,0.8,0.19811320754716977
merma parcial,0.5,PROD_003,Cappuccino,Bebidas,3000,765.0,3.9215686274509802,0.796812749003984,0.8,0.20318725099601598
merma parcial,0.5,PROD_002,Café con Leche,Bebidas,2300,615.0,3.7398373983739837,0.7890222984562607,0.79,0.2109777015437393
merma parcial,0.5,PROD_006,Croissant,Alimentos,2300,625.0,3.68,0.7863247863247863,0.79,0.2136752136752137
merma parcial,0.5,PROD_004,Pan de Bono,Alimentos,1800,520.0,3.4615384615384617,0.7758620689655172,0.78,0.22413793103448276
merma parcial,0.5,PROD_008,Jugo de Naranja,Bebidas,3000,1050.0,2.857142857142857,0.7407407407407407,0.74,0.2592592592592593
merma parcial,0.5,PROD_007,Pastel de Pollo,Alimentos,2000,780.0,2.5641025641025643,0.7194244604316546,0.72,0.28057553956834536
con merma,1.0,PROD_001,Tinto,Bebidas,1700,810.0,2.0987654320987654,0.6772908366533864,0.68,0.3227091633466136
con merma,1.0,PROD_005,Buñuelo,Alimentos,1700,820.0,2.073170731707317,0.6746031746031746,0.67,0.32539682539682535
con merma,1.0,PROD_003,Cappuccino,Bebidas,3000,1515.0,1.9801980198019802,0.6644518272425249,0.66,0.33554817275747506
con merma,1.0,PROD_002,Café con Leche,Bebidas,2300,1215.0,1.8930041152263375,0.6543385490753911,0.65,0.34566145092460887
con merma,1.0,PROD_006,Croissant,Alimentos,2300,1225.0,1.8775510204081634,0.6524822695035462,0.65,0.34751773049645385
con merma,1.0,PROD_004,Pan de Bono,Alimentos,1800,1020.0,1.7647058823529411,0.6382978723404256,0.64,0.36170212765957444
con merma,1.0,PROD_008,Jugo de Naranja,Bebidas,3000,2050.0,1.4634146341463414,0.594059405940594,0.59,0.40594059405940597
con merma,1.0,PROD_007,Pastel de Pollo,Alimentos,2000,1530.0,1.3071895424836601,0.56657223796034,0.57,0.43342776203966005
