id_tienda,id_producto,semana,pronostico,nivel_servicio,objetivo_bruto,objetivo,stock_actual,pedido,colchon,cubierto_por_stock
STORE_01,PROD_001,14,44.44298533715957,0.68,47.33049695434558,47.0,1,46.0,2.55701466284043,False
STORE_01,PROD_002,14,63.75168522789426,0.65,67.60444235059256,68.0,10,58.0,4.2483147721057435,False
STORE_01,PROD_003,14,61.7659066568533,0.66,65.16354858210143,65.0,33,32.0,3.2340933431466965,False
STORE_01,PROD_004,14,47.77647317526419,0.64,50.11198648783998,50.0,11,39.0,2.2235268247358135,False
STORE_01,PROD_005,14,76.13711391065978,0.67,80.46254772674916,80.0,3,77.0,3.862886089340222,False
STORE_01,PROD_006,14,83.55618033852076,0.65,88.27115722125012,88.0,13,75.0,4.443819661479239,False
STORE_01,PROD_007,14,75.16962913556006,0.57,77.01472246334586,77.0,8,69.0,1.8303708644399421,False
STORE_01,PROD_008,14,67.23113967415088,0.59,69.57812965997661,70.0,13,57.0,2.7688603258491185,False
STORE_02,PROD_001,14,70.87616503557665,0.68,75.34238876486454,75.0,9,66.0,4.123834964423352,False
STORE_02,PROD_002,14,95.12380460523657,0.65,100.87444494322564,101.0,20,81.0,5.876195394763428,False
STORE_02,PROD_003,14,98.44455434105168,0.66,103.92354197863496,104.0,32,72.0,5.555445658948315,False
STORE_02,PROD_004,14,74.8039149368311,0.64,78.76785895726516,79.0,43,36.0,4.196085063168894,False
STORE_02,PROD_005,14,109.57269438157904,0.67,115.33261036492905,115.0,27,88.0,5.427305618420959,False
STORE_02,PROD_006,14,87.08482560183243,0.65,91.53274901275921,92.0,8,84.0,4.915174398167565,False
STORE_02,PROD_007,14,115.46726081384709,0.57,118.59498322937431,119.0,11,108.0,3.5327391861529094,False
STORE_02,PROD_008,14,113.8113294366761,0.59,117.84865624543792,118.0,20,98.0,4.188670563323896,False
STORE_03,PROD_001,14,97.81645657821196,0.68,104.17283668494477,104.0,4,100.0,6.183543421788045,False
STORE_03,PROD_002,14,75.08434344305634,0.65,79.28531680980872,79.0,24,55.0,3.9156565569436594,False
STORE_03,PROD_003,14,92.14696556965916,0.66,97.25186593231233,97.0,20,77.0,4.853034430340841,False
STORE_03,PROD_004,14,60.256276955072224,0.64,63.21436342644713,63.0,21,42.0,2.7437230449277763,False
STORE_03,PROD_005,14,144.5584206450221,0.67,152.32985263169857,152.0,8,144.0,7.441579354977904,False
STORE_03,PROD_006,14,136.29275187174886,0.65,144.06037494732064,144.0,18,126.0,7.707248128251138,False
STORE_03,PROD_007,14,163.91371349931896,0.57,168.27149614133464,168.0,4,164.0,4.086286500681041,False
STORE_03,PROD_008,14,130.37439098030853,0.59,135.3509972890818,135.0,4,131.0,4.625609019691467,False
STORE_04,PROD_001,14,72.41330378783506,0.68,77.16426203139038,77.0,29,48.0,4.586696212164938,False
STORE_04,PROD_002,14,86.77807630561172,0.65,92.04130321670527,92.0,9,83.0,5.2219236943882805,False
STORE_04,PROD_003,14,78.64407825004677,0.66,82.91858764120363,83.0,15,68.0,4.355921749953225,False
STORE_04,PROD_004,14,51.572182706880426,0.64,54.084912735275616,54.0,6,48.0,2.427817293119574,False
STORE_04,PROD_005,14,131.48627350635041,0.67,138.53497944358207,139.0,5,134.0,7.513726493649585,False
STORE_04,PROD_006,14,179.71601477420938,0.65,190.30135518772016,190.0,30,160.0,10.283985225790616,False
STORE_04,PROD_007,14,93.14678024781077,0.57,95.27679168177667,95.0,31,64.0,1.8532197521892328,False
STORE_04,PROD_008,14,176.48485298191562,0.59,183.43252119237567,183.0,36,147.0,6.515147018084377,False
STORE_05,PROD_001,14,63.514949579249304,0.68,67.89136666214092,68.0,38,30.0,4.485050420750696,False
STORE_05,PROD_002,14,57.9190971349102,0.65,61.33381196654607,61.0,10,51.0,3.080902865089797,False
STORE_05,PROD_003,14,121.06125777529336,0.66,128.19945740304513,128.0,33,95.0,6.938742224706644,False
STORE_05,PROD_004,14,37.88663476979505,0.64,39.64567730543564,40.0,8,32.0,2.1133652302049484,False
STORE_05,PROD_005,14,123.13229734310463,0.67,129.95114473362102,130.0,1,129.0,6.867702656895375,False
STORE_05,PROD_006,14,146.6456118437711,0.65,155.3875450399945,155.0,23,132.0,8.354388156228907,False
STORE_05,PROD_007,14,119.96100342512865,0.57,123.18548490842444,123.0,4,119.0,3.038996574871348,False
STORE_05,PROD_008,14,165.18018443603418,0.59,171.77852060698555,172.0,12,160.0,6.819815563965818,False
STORE_06,PROD_001,14,54.32436545706993,0.68,58.02450095028942,58.0,3,55.0,3.6756345429300694,False
STORE_06,PROD_002,14,79.64014458726274,0.65,84.4828601009301,84.0,9,75.0,4.359855412737261,False
STORE_06,PROD_003,14,64.61542066735218,0.66,68.1608219542107,68.0,43,25.0,3.3845793326478173,False
STORE_06,PROD_004,14,44.4670683938058,0.64,46.47397050360035,46.0,18,28.0,1.5329316061941967,False
STORE_06,PROD_005,14,94.45668570735809,0.67,99.6728965278123,100.0,3,97.0,5.5433142926419094,False
STORE_06,PROD_006,14,91.03697863736885,0.65,95.87101190170912,96.0,25,71.0,4.963021362631153,False
STORE_06,PROD_007,14,187.58766549490528,0.57,193.0975183484581,193.0,37,156.0,5.412334505094719,False
STORE_06,PROD_008,14,115.90909776994836,0.59,120.72640559961795,121.0,3,118.0,5.09090223005164,False
STORE_07,PROD_001,14,26.246434518929227,0.68,28.14400837317467,28.0,27,1.0,1.7535654810707726,False
STORE_07,PROD_002,14,47.25037222662479,0.65,50.24168892707593,50.0,15,35.0,2.7496277733752095,False
STORE_07,PROD_003,14,48.246066685383624,0.66,50.972495979009395,51.0,18,33.0,2.7539333146163756,False
STORE_07,PROD_004,14,28.44968711283132,0.64,29.651522504586314,30.0,55,0.0,1.5503128871686798,True
STORE_07,PROD_005,14,37.2896446904751,0.67,39.43891751904721,39.0,0,39.0,1.7103553095248998,False
STORE_07,PROD_006,14,47.83471709459923,0.65,50.42152726026156,50.0,20,30.0,2.1652829054007725,False
STORE_07,PROD_007,14,47.76629518282816,0.57,48.83322136888057,49.0,1,48.0,1.2337048171718408,False
STORE_07,PROD_008,14,56.10261551611208,0.59,57.416025585269146,57.0,31,26.0,0.8973844838879188,False
STORE_08,PROD_001,14,85.87397447727373,0.68,91.01093714436242,91.0,45,46.0,5.126025522726266,False
STORE_08,PROD_002,14,106.14795967262347,0.65,112.37109485850527,112.0,1,111.0,5.852040327376528,False
STORE_08,PROD_003,14,125.08283294848187,0.66,131.94819855167006,132.0,0,132.0,6.917167051518135,False
STORE_08,PROD_004,14,63.65537619542552,0.64,66.51569983404929,67.0,62,5.0,3.344623804574482,False
STORE_08,PROD_005,14,193.32419447889072,0.67,203.35192667722185,203.0,52,151.0,9.675805521109282,False
STORE_08,PROD_006,14,152.65729387090494,0.65,161.13983465642352,161.0,51,110.0,8.342706129095063,False
STORE_08,PROD_007,14,250.0932702155594,0.57,257.1154381113779,257.0,56,201.0,6.906729784440614,False
STORE_08,PROD_008,14,138.7418601101574,0.59,143.80918448091964,144.0,13,131.0,5.258139889842596,False
STORE_09,PROD_001,14,45.54901229527685,0.68,48.6140805468863,49.0,75,0.0,3.450987704723147,True
STORE_09,PROD_002,14,34.299388792946985,0.65,36.12588277342621,36.0,44,0.0,1.700611207053015,True
STORE_09,PROD_003,14,56.91857411722407,0.66,60.05400678427403,60.0,2,58.0,3.0814258827759318,False
STORE_09,PROD_004,14,32.948240871316884,0.64,34.39056774304234,34.0,33,1.0,1.0517591286831163,False
STORE_09,PROD_005,14,77.80028200236247,0.67,82.42314970539088,82.0,24,58.0,4.199717997637535,False
STORE_09,PROD_006,14,65.06556239612651,0.65,68.2276027658192,68.0,2,66.0,2.9344376038734907,False
STORE_09,PROD_007,14,91.08823154934534,0.57,94.03423053862804,94.0,26,68.0,2.9117684506546624,False
STORE_09,PROD_008,14,90.27365220008863,0.59,93.07937504366451,93.0,13,80.0,2.726347799911366,False
STORE_10,PROD_001,14,38.40276860394158,0.68,40.78693913276702,41.0,38,3.0,2.597231396058419,False
STORE_10,PROD_002,14,78.5760967993104,0.65,83.52630798530733,84.0,34,50.0,5.423903200689594,False
STORE_10,PROD_003,14,70.79217756604125,0.66,74.76629262489374,75.0,57,18.0,4.2078224339587535,False
STORE_10,PROD_004,14,31.94764743026295,0.64,33.31974583865058,33.0,1,32.0,1.0523525697370495,False
STORE_10,PROD_005,14,108.11461595094653,0.67,114.4488512443526,114.0,24,90.0,5.885384049053471,False
STORE_10,PROD_006,14,102.57993994745179,0.65,108.59005593500967,109.0,9,100.0,6.420060052548209,False
