id_tienda,id_producto,semana,unidades_vendidas,q0.50,q0.57,q0.59,q0.64,q0.65,q0.66,q0.67,q0.68,q0.72,q0.74,q0.78,q0.79,q0.80,q0.81,q0.90,q0.98,q0.99
STORE_01,PROD_001,11,39,47.77813302266738,49.32746100240454,49.411882685346946,50.42184384424321,50.63688758249697,50.774898011439895,51.15435483495282,51.85819087090698,53.0561780984631,53.13050545390754,54.3352817562923,54.42060801511403,54.90150686733837,55.21599980744256,57.85467843543122,65.91691570509157,66.87392182828972
STORE_01,PROD_001,12,45,46.07489590615901,47.48166785721101,47.545393194492604,48.55788531281939,48.73239549943207,48.86979269308483,49.184979866175155,49.90921378108484,50.9655459952073,51.04896737412597,52.100622678662205,52.199259379539086,52.639186922217384,52.88275518463405,55.15918943314784,62.95386515926918,63.72905622809464
STORE_01,PROD_001,13,51,45.00189462203312,46.42536070227929,46.43014720115913,47.5440516871447,47.64469896547291,47.759189884502376,47.94510584362389,48.755670962306105,49.53875963734996,49.63255333264389,50.35330199017888,50.489206650279044,50.839036709534085,50.90293814251372,52.49099102464102,59.89403171793672,60.584190627899574
STORE_01,PROD_002,11,61,68.47535663008489,71.13667296456582,71.47130177391269,72.98253082696789,73.21866307851892,73.2598314806453,73.59635406357151,74.37648049041545,75.92436973162252,76.02599136476735,77.32636092721648,77.87278428101034,78.312503334663,78.36202728586262,80.54268902967898,90.95580420587387,93.08113516324865
STORE_01,PROD_002,12,49,66.38041426298298,68.9718320037562,69.21237644420307,70.60428651127843,70.9369566514718,70.94165611887051,71.43226045177775,72.08621929165012,73.85649261157943,73.95650339256093,75.5705557383243,76.06777904990622,76.64408694070931,76.79627418943309,79.58779213511295,89.98175174065582,92.03284662985028
STORE_01,PROD_002,13,69,59.3893134313093,61.58094384428837,61.719619541710536,62.91403253588703,63.232616242267866,63.30150059455631,63.8056938529929,64.34890490215828,66.1132862242929,66.18163625852539,67.89154018271654,68.32055705413123,68.92153891387603,69.20326479700188,72.01966381827505,81.70193957702797,83.29710885153065
STORE_01,PROD_003,11,45,65.09951260353901,67.40400242219201,67.85787487206082,69.34387034510986,69.38374102774871,69.77611540039725,69.9901598651096,70.58941320768476,71.3378523315106,71.35963521204155,73.10657714518396,73.30441530714086,74.18635134793797,74.63740854674273,77.48705548541619,87.80731249155828,89.58684005192079
STORE_01,PROD_003,12,67,60.944263205361736,62.99955913595809,63.29785775622831,64.57844080172488,64.700250880256,65.1545940134111,65.53350450043646,65.9412043831555,67.02396351758284,67.03968780816804,69.22574002504845,69.35324033432293,70.34742236425434,71.08760435653443,74.69877846429249,84.91543405924195,86.44197445172571
STORE_01,PROD_003,13,68,61.28546444097792,63.37228642135944,63.8772692687261,65.30452051025385,65.3650583887054,65.64724132037952,65.67783306630669,66.40370972647152,66.7891276166123,66.79368766523355,68.01696165137682,68.25901288389377,68.97210075159354,69.14881158755361,70.91748901318682,80.40757314846375,81.8993908069995
STORE_01,PROD_004,11,54,41.987208467055545,43.69331290835947,43.963563199250224,44.681608725733966,44.710596585228146,45.110041924027776,45.209552288504405,45.70011749818566,47.5442139684177,47.57934831168295,48.35719560836112,49.02548583664141,49.38792162111868,49.967602187605884,52.11374552251701,57.439325027704506,57.926873340363414
STORE_01,PROD_004,12,53,46.875325473457316,48.566981043860906,48.997421804971566,49.83879299801256,49.94225693271334,50.155240163054565,50.209234177494274,50.8327786052732,52.460955690252554,52.48512642378728,52.83294521862122,53.603554987449776,53.845235185664315,54.163750345633204,55.65506238528982,61.28304965016515,61.81034540510174
STORE_01,PROD_004,13,46,49.101973631219636,50.90269538398278,51.33075394761128,52.21887240333163,52.28349260065149,52.60711789773392,52.62062482043498,53.26096319081313,55.12062187773267,55.12948280567338,55.65174430578234,56.44321805678745,56.73117165992183,57.158244729320714,59.10359122922231,65.1267742726258,65.59467452127006
STORE_01,PROD_005,11,80,75.4583988303435,78.30358546952446,78.52703747791993,79.32135729698386,79.49364692875095,79.66210307581154,79.77578079485986,80.58451518523412,81.37428063296903,81.39961458978343,82.09080931144791,82.26196914099513,82.82465375442551,83.92018404012103,86.0818662351413,99.09091570417728,101.46744343043551
STORE_01,PROD_005,12,72,77.71982824381803,80.7673947789591,80.94607613546651,81.69983089854863,81.94840239974462,82.22157282620665,82.23049764618443,83.08103068042736,84.08167829646023,84.12115815861458,85.06672685638077,85.20962263373038,85.85473486313921,87.14007020890024,89.89093090075956,103.40344947099622,106.01002707516172
STORE_01,PROD_005,13,73,77.29406875691635,80.46896619917013,80.56619466084958,81.2284152170467,81.57918514621836,81.82971528478079,81.97657756397703,82.72334386454844,83.97331740024903,84.01895912476789,85.29262253479854,85.3929125794801,86.1329195829855,87.6305684543198,91.02432411129679,104.67784798648799,107.40774511969286
STORE_01,PROD_006,11,81,83.50447024059523,86.21757185179392,86.32460107321879,88.2965384887963,88.69054031049298,88.7813466236074,89.36781168907214,90.09229143726725,91.05169041244865,91.31755734058022,92.95659370307852,93.09725366817727,93.87132904598538,94.26041877188638,99.77671470639736,112.41766161505566,115.44462387574693
STORE_01,PROD_006,12,99,83.17614606505114,85.84415057788912,86.0051804273483,88.01667255422676,88.33837292009358,88.44933595444311,88.92215976973024,89.72207128051312,90.50638940241289,90.76289215525132,92.16468799082159,92.33396638864114,93.03885177684245,93.28977300347847,98.3034791218191,110.73973697276718,113.697476320083
STORE_01,PROD_006,13,80,88.42672550890697,90.99512797259777,91.31468628528496,93.56310206362475,93.72125573565336,93.91717361141784,94.13369948039552,95.15007439742396,95.56377104662852,95.83346088628589,96.73344321483803,96.97871466024709,97.47507366196731,97.5508862170955,101.70288285179534,114.59048406436402,117.54120094254364
